asin,title,author,author_asin,narrator,publication_datetime,release_date,publisher_name,length,category,mp3_excerpt,overall_rating,overall_num_ratings,performance_rating,performance_num_ratings,story_rating,story_num_ratings,num_reviews,price,series_asin,series_name
1789994500,Skavenslayer,William King,B004N377OM,Jonathan Keeble,2020-04-11T07:00:00Z,2020-04-11,Black Library,630,Science Fiction & Fantasy,https://samples.audible.com/bk/gawo/000973/bk_gawo_000973_sample.mp3,4.9,2270,5.0,1915,4.9,1908,182,22.9,B08L6Q9DHV,Gotrek and Felix: Warhammer Chronicles
B06X9P85VZ,Binary Storm,Christopher Hinz,B000AP85WA,Todd Boyce,2017-03-13T07:00:00Z,2017-03-13,Audible Studios,882,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/029290/bk_adbl_029290_sample.mp3,4.3,125,4.3,120,4.2,120,9,23.54,B00UGGGTSU,Paratwa Book
B016J85TCA,Wild Card Run,Sara Stamey,B003ZLV4WE,Erin Bennett,2015-10-14T12:08:00Z,2015-10-14,Audible Studios,592,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/024199/bk_adbl_024199_sample.mp3,4.0,1,5.0,1,5.0,1,0,19.95,B016VEKKJO,Wild Card Run
B07RPPGJW1,A Portion of Dragon and Chips,Simon Haynes,B001JOS9U4,G.M. Graeme Hague,2019-05-14T12:10:00Z,2019-05-14,Author's Republic,443,Science Fiction & Fantasy,https://samples.audible.com/bk/acx0/152619/bk_acx0_152619_sample.mp3,4.3,12,4.4,12,4.3,12,0,19.95,B07S8DQ28Z,Dragon and Chips
B002VA8ZPO,The Last Division,Ann Tusa,B004CPUUO0,Nadia May,2009-10-08T01:14:00Z,2009-10-08,"Blackstone Audio, Inc.",1128,History,https://samples.audible.com/bk/blak/003467/bk_blak_003467_sample.mp3,3.8,5,4.0,1,0.0,0,1,24.27,,
B002V5CMLM,Santa Fe Dead,Stuart Woods,B000APXDEA,Michael Kramer,2009-01-09T13:51:00Z,2009-01-09,Penguin Audio,487,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/peng/001154/bk_peng_001154_sample.mp3,4.4,145,4.6,109,4.5,108,6,18.0,B016CIEFJA,Ed Eagle
B002V8L8KK,Outrageous Fortune,Tim Scott,B001HMU19K,uncredited,2007-05-23T10:30:00Z,2007-05-23,Random House Audio,652,Science Fiction & Fantasy,https://samples.audible.com/bk/rand/001193/bk_rand_001193_sample.mp3,3.4,36,3.8,12,3.1,12,7,17.98,,
B00WRCFWCU,Time of Death,Mark Billingham,,Mark Billingham,2015-06-02T07:00:00Z,2015-06-02,"HighBridge, a Division of Recorded Books",645,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/high/000951/bk_high_000951_sample.mp3,4.2,107,4.4,96,4.3,96,2,25.79,B01M59D7YI,Tom Thorne
B00QSH60E4,Beautiful Illusions,Annie Jocoby,,Michael Ferraiuolo,2014-12-10T12:47:00Z,2014-12-10,Debra Lynn Moore,638,Romance,https://samples.audible.com/bk/acx0/027310/bk_acx0_027310_sample.mp3,3.5,42,4.0,38,3.7,38,1,24.95,B00S9TVJ1S,Illusions
B00CTOX76O,Britty Britty Bang Bang: One Man's Attempt to Understand His Country,Hugh Dennis,B00JR733R4,Hugh Dennis,2013-05-23T07:00:00Z,2013-05-23,Headline Digital,465,History,https://samples.audible.com/bk/head/000230/bk_head_000230_sample.mp3,3.8,4,4.3,4,3.5,4,0,18.58,,
